portfolio_date,portfolio_pnl,portfolio_loss,position_pnl_sum,nav,funded_market_value,gross_funded_exposure,overlay_notional,rebalanced,holdings_version
2023-03-01,9453.424552523402,-9453.424552523402,9453.424552523402,10178300.33721993,10178300.33721993,10178300.33721993,763372.5252914947,True,3
2023-03-02,-11416.908837765446,11416.908837765446,-11416.908837765446,10166883.428382164,10166883.428382164,10166883.428382164,763372.5252914947,False,3
2023-03-03,16392.800941150006,-16392.800941150006,16392.800941150006,10183276.229323315,10183276.229323315,10183276.229323315,763372.5252914947,False,3
2023-03-06,45211.64188639206,-45211.64188639206,45211.64188639206,10228487.871209707,10228487.871209707,10228487.871209707,763372.5252914947,False,3
2023-03-07,-17325.387447066863,17325.387447066863,-17325.387447066863,10211162.48376264,10211162.48376264,10211162.48376264,763372.5252914947,False,3
2023-03-08,5102.3471404896245,-5102.3471404896245,5102.3471404896245,10216264.830903128,10216264.830903128,10216264.830903128,763372.5252914947,False,3
2023-03-09,-47572.27724244353,47572.27724244353,-47572.27724244353,10168692.553660685,10168692.553660685,10168692.553660685,763372.5252914947,False,3
2023-03-10,-57499.036651505594,57499.036651505594,-57499.036651505594,10111193.51700918,10111193.51700918,10111193.51700918,763372.5252914947,False,3
2023-03-13,-1431.8058499070482,1431.8058499070482,-1431.8058499070482,10109761.711159274,10109761.711159274,10109761.711159274,763372.5252914947,False,3
2023-03-14,-78558.99875543149,78558.99875543149,-78558.99875543149,10031202.712403841,10031202.712403841,10031202.712403841,763372.5252914947,False,3
2023-03-15,-44739.07056912444,44739.07056912444,-44739.07056912444,9986463.641834717,9986463.641834717,9986463.641834717,763372.5252914947,False,3
2023-03-16,20459.85161399575,-20459.85161399575,20459.85161399575,10006923.493448714,10006923.493448714,10006923.493448714,763372.5252914947,False,3
2023-03-17,-5766.2997491322585,5766.2997491322585,-5766.2997491322585,10001157.193699582,10001157.193699582,10001157.193699582,763372.5252914947,False,3
2023-03-20,19735.722391559404,-19735.722391559404,19735.722391559404,10020892.91609114,10020892.91609114,10020892.91609114,763372.5252914947,False,3
2023-03-21,16226.105488326215,-16226.105488326215,16226.105488326215,10037119.021579465,10037119.021579465,10037119.021579465,763372.5252914947,False,3
2023-03-22,8791.465136643505,-8791.465136643505,8791.465136643505,10045910.48671611,10045910.48671611,10045910.48671611,763372.5252914947,False,3
2023-03-23,-7451.954641296796,7451.954641296796,-7451.954641296796,10038458.532074813,10038458.532074813,10038458.532074813,763372.5252914947,False,3
2023-03-24,-4264.2137624867355,4264.2137624867355,-4264.2137624867355,10034194.318312326,10034194.318312326,10034194.318312326,763372.5252914947,False,3
2023-03-27,-40121.50002381793,40121.50002381793,-40121.50002381793,9994072.818288509,9994072.818288509,9994072.818288509,763372.5252914947,False,3
2023-03-28,22582.589504304928,-22582.589504304928,22582.589504304928,10016655.407792814,10016655.407792814,10016655.407792814,763372.5252914947,False,3
2023-03-29,36551.37134494405,-36551.37134494405,36551.37134494405,10053206.779137757,10053206.779137757,10053206.779137757,763372.5252914947,False,3
2023-03-30,-25290.293163790695,25290.293163790695,-25290.293163790695,10027916.485973965,10027916.485973965,10027916.485973965,763372.5252914947,False,3
2023-03-31,28701.683601879467,-28701.683601879467,28701.683601879467,10056618.169575846,10056618.169575846,10056618.169575846,763372.5252914947,False,3
2023-04-03,13725.445691537529,-13725.445691537529,13725.445691537529,10070343.615267383,10070343.615267383,10070343.615267383,755275.7711450537,True,4
2023-04-04,13662.506321167397,-13662.506321167397,13662.506321167397,10084006.12158855,10084006.12158855,10084006.12158855,755275.7711450537,False,4
2023-04-05,1152.5132667286643,-1152.5132667286643,1152.5132667286643,10085158.634855278,10085158.634855278,10085158.634855278,755275.7711450537,False,4
2023-04-06,56606.908708478215,-56606.908708478215,56606.908708478215,10141765.543563757,10141765.543563757,10141765.543563757,755275.7711450537,False,4
2023-04-07,-51069.94826346876,51069.94826346876,-51069.94826346876,10090695.595300287,10090695.595300287,10090695.595300287,755275.7711450537,False,4
2023-04-10,-47548.650152374576,47548.650152374576,-47548.650152374576,10043146.945147913,10043146.945147913,10043146.945147913,755275.7711450537,False,4
2023-04-11,-86178.75476580134,86178.75476580134,-86178.75476580134,9956968.190382112,9956968.190382112,9956968.190382112,755275.7711450537,False,4
2023-04-12,44611.79250529663,-44611.79250529663,44611.79250529663,10001579.982887408,10001579.982887408,10001579.982887408,755275.7711450537,False,4
2023-04-13,6708.643528702264,-6708.643528702264,6708.643528702264,10008288.62641611,10008288.62641611,10008288.62641611,755275.7711450537,False,4
2023-04-14,-11302.613470906868,11302.613470906868,-11302.613470906868,9996986.012945203,9996986.012945203,9996986.012945203,755275.7711450537,False,4
2023-04-17,63989.9265028727,-63989.9265028727,63989.9265028727,10060975.939448077,10060975.939448077,10060975.939448077,755275.7711450537,False,4
2023-04-18,26652.13951858829,-26652.13951858829,26652.13951858829,10087628.078966664,10087628.078966664,10087628.078966664,755275.7711450537,False,4
2023-04-19,110053.15615081204,-110053.15615081204,110053.15615081204,10197681.235117475,10197681.235117475,10197681.235117475,755275.7711450537,False,4
2023-04-20,14071.920635818487,-14071.920635818487,14071.920635818487,10211753.155753296,10211753.155753296,10211753.155753296,755275.7711450537,False,4
2023-04-21,-39665.548549954314,39665.548549954314,-39665.548549954314,10172087.60720334,10172087.60720334,10172087.60720334,755275.7711450537,False,4
2023-04-24,-55497.60838826166,55497.60838826166,-55497.60838826166,10116589.998815078,10116589.998815078,10116589.998815078,755275.7711450537,False,4
2023-04-25,-459.55531655503603,459.55531655503603,-459.55531655503603,10116130.443498524,10116130.443498524,10116130.443498524,755275.7711450537,False,4
2023-04-26,-32707.2726227135,32707.2726227135,-32707.2726227135,10083423.17087581,10083423.17087581,10083423.17087581,755275.7711450537,False,4
2023-04-27,-39641.890020179635,39641.890020179635,-39641.890020179635,10043781.280855631,10043781.280855631,10043781.280855631,755275.7711450537,False,4
2023-04-28,-58461.82659726243,58461.82659726243,-58461.82659726243,9985319.45425837,9985319.45425837,9985319.45425837,755275.7711450537,False,4
2023-05-01,14236.60679875298,-14236.60679875298,14236.60679875298,9999556.061057122,9999556.061057122,9999556.061057122,749966.7045792842,True,5
2023-05-02,-18533.545892396087,18533.545892396087,-18533.545892396087,9981022.515164725,9981022.515164725,9981022.515164725,749966.7045792842,False,5
2023-05-03,-33685.118347709824,33685.118347709824,-33685.118347709824,9947337.396817015,9947337.396817015,9947337.396817015,749966.7045792842,False,5
2023-05-04,-26926.989238262977,26926.989238262977,-26926.989238262977,9920410.407578751,9920410.407578751,9920410.407578751,749966.7045792842,False,5
2023-05-05,-21146.24882030876,21146.24882030876,-21146.24882030876,9899264.158758445,9899264.158758445,9899264.158758445,749966.7045792842,False,5
2023-05-08,7710.764239695661,-7710.764239695661,7710.764239695661,9906974.92299814,9906974.92299814,9906974.92299814,749966.7045792842,False,5
