forecast_date,realized_date,expected_next_date,max_input_date,confidence,lookback,holdings_version,model_version,hypothetical_pnl,realized_loss,principal_contributor,model,var,es,exception,breach_magnitude,seed
2024-01-24,2024-01-25,2024-01-25,2024-01-24,0.99,250,13,1.1.0,-24500.56100143499,24500.56100143499,SPY,Historical,103330.06327236489,114782.66214318713,False,0.0,
2024-01-24,2024-01-25,2024-01-25,2024-01-24,0.99,250,13,1.1.0,-24500.56100143499,24500.56100143499,SPY,Parametric Normal,93491.10769707432,107109.44501920578,False,0.0,
2024-01-24,2024-01-25,2024-01-25,2024-01-24,0.99,250,13,1.1.0,-24500.56100143499,24500.56100143499,SPY,Monte Carlo Normal,94072.41338323877,109504.71651136671,False,0.0,275000867.0
2024-01-25,2024-01-26,2024-01-26,2024-01-25,0.99,250,13,1.1.0,42942.38731087253,-42942.38731087253,GLD,Historical,102753.93466755371,113389.45346344146,False,0.0,
2024-01-25,2024-01-26,2024-01-26,2024-01-25,0.99,250,13,1.1.0,42942.38731087253,-42942.38731087253,GLD,Parametric Normal,92884.9703410778,106415.01495622528,False,0.0,
2024-01-25,2024-01-26,2024-01-26,2024-01-25,0.99,250,13,1.1.0,42942.38731087253,-42942.38731087253,GLD,Monte Carlo Normal,94073.27863242614,107178.5851122312,False,0.0,276000870.0
2024-01-26,2024-01-29,2024-01-29,2024-01-26,0.99,250,13,1.1.0,45557.84599942839,-45557.84599942839,USO,Historical,103644.22457656109,114838.64692715023,False,0.0,
2024-01-26,2024-01-29,2024-01-29,2024-01-26,0.99,250,13,1.1.0,45557.84599942839,-45557.84599942839,USO,Parametric Normal,93896.40060880593,107573.77472836322,False,0.0,
2024-01-26,2024-01-29,2024-01-29,2024-01-26,0.99,250,13,1.1.0,45557.84599942839,-45557.84599942839,USO,Monte Carlo Normal,93708.12627328515,104426.19532980904,False,0.0,277000873.0
2024-01-29,2024-01-30,2024-01-30,2024-01-29,0.99,250,13,1.1.0,22264.28261648546,-22264.28261648546,GLD,Historical,104387.34944370885,116417.59452962517,False,0.0,
2024-01-29,2024-01-30,2024-01-30,2024-01-29,0.99,250,13,1.1.0,22264.28261648546,-22264.28261648546,GLD,Parametric Normal,95001.79157404607,108840.1819379103,False,0.0,
2024-01-29,2024-01-30,2024-01-30,2024-01-29,0.99,250,13,1.1.0,22264.28261648546,-22264.28261648546,GLD,Monte Carlo Normal,94817.49648995235,110011.20443687968,False,0.0,278000876.0
2024-01-30,2024-01-31,2024-01-31,2024-01-30,0.99,250,13,1.1.0,9294.264893878699,-9294.264893878699,EFA,Historical,105046.57185990874,117763.12607568278,False,0.0,
2024-01-30,2024-01-31,2024-01-31,2024-01-30,0.99,250,13,1.1.0,9294.264893878699,-9294.264893878699,EFA,Parametric Normal,95728.80292977793,109673.09305377181,False,0.0,
2024-01-30,2024-01-31,2024-01-31,2024-01-30,0.99,250,13,1.1.0,9294.264893878699,-9294.264893878699,EFA,Monte Carlo Normal,95520.01789828231,108802.13036887562,False,0.0,279000879.0
2024-01-31,2024-02-01,2024-02-01,2024-01-31,0.99,250,13,1.1.0,-35695.41993185293,35695.41993185293,SPY,Historical,105380.52661755442,118067.18317570124,False,0.0,
2024-01-31,2024-02-01,2024-02-01,2024-01-31,0.99,250,13,1.1.0,-35695.41993185293,35695.41993185293,SPY,Parametric Normal,95459.38370508974,109364.42900705458,False,0.0,
2024-01-31,2024-02-01,2024-02-01,2024-01-31,0.99,250,13,1.1.0,-35695.41993185293,35695.41993185293,SPY,Monte Carlo Normal,95954.20298777525,108604.23719671462,False,0.0,280000882.0
2024-02-01,2024-02-02,2024-02-02,2024-02-01,0.99,250,14,1.1.0,-16090.07152956221,16090.07152956221,SPY,Historical,103639.48020812534,117428.82043199267,False,0.0,
2024-02-01,2024-02-02,2024-02-02,2024-02-01,0.99,250,14,1.1.0,-16090.07152956221,16090.07152956221,SPY,Parametric Normal,94839.13318084418,108653.82998794707,False,0.0,
2024-02-01,2024-02-02,2024-02-02,2024-02-01,0.99,250,14,1.1.0,-16090.07152956221,16090.07152956221,SPY,Monte Carlo Normal,97033.1217123969,109591.4190974583,False,0.0,281000885.0
2024-02-02,2024-02-05,2024-02-05,2024-02-02,0.99,250,14,1.1.0,-19911.17827084753,19911.17827084753,SPY,Historical,102849.22963870336,115952.03861827997,False,0.0,
2024-02-02,2024-02-05,2024-02-05,2024-02-02,0.99,250,14,1.1.0,-19911.17827084753,19911.17827084753,SPY,Parametric Normal,94136.16764827735,107848.46731853868,False,0.0,
2024-02-02,2024-02-05,2024-02-05,2024-02-02,0.99,250,14,1.1.0,-19911.17827084753,19911.17827084753,SPY,Monte Carlo Normal,95614.87622335831,110970.08306235574,False,0.0,282000888.0
2024-02-05,2024-02-06,2024-02-06,2024-02-05,0.99,250,14,1.1.0,5785.293330294427,-5785.293330294427,GLD,Historical,102497.70694105807,115158.93353459155,False,0.0,
